Symbol,MarketCap
MSFT,2991930736640
AAPL,3007339560960
NVDA,1515641503744
AMZN,1621094563840
GOOGL,1870571634688
META,1004044353536
GOOG,1870579499008
BRK-B,819177390080
TSLA,660674904064
AVGO,586987929600
LLY,601575849984
JPM,490477322240
UNH,474699235328
V,558292336640
JNJ,382661263360
XOM,398078279680
MA,411402338304
HD,345624641536
PG,357941379072
COST,304623714304
MRK,301244317696
ABBV,289936965632
ADBE,274128945152
CRM,268019843072
AMD,288027475968
CVX,273572724736
KO,254692081664
WMT,432102899712
ACN,231297351680
PEP,227676831744
BAC,260392255488
MCD,217921748992
TMO,208637018112
NFLX,238478704640
CSCO,208497164288
INTC,206963441664
ABT,192303366144
LIN,194576646144
INTU,178089689088
WFC,178107596800
CMCSA,176298508288
ORCL,314229030912
DIS,171134926848
QCOM,172408143872
VZ,173545242624
AMGN,163496869888
PFE,159962808320
TXN,154593640448
IBM,158818779136
NOW,156543090688
DHR,168926101504
UNP,147723894784
CAT,147980828672
SPGI,141261111296
PM,141083017216
GE,141414514688
AMAT,144722001920
UBER,131209150464
HON,131764494336
ISRG,130291286016
COP,130223259648
LOW,121090048000
GS,123726888960
NKE,152663490560
BKNG,122001260544
RTX,128677666816
BA,129543733248
T,119262339072
PLD,118832201728
NEE,116967981056
MDT,112647954432
UPS,133394579456
VRTX,110174945280
BLK,116683874304
ELV,111293038592
LRCX,111780700160
TJX,108212609024
MS,143729508352
PANW,107277672448
AXP,135415586816
SBUX,104621875200
SYK,116925915136
DE,108750921728
LMT,104305205248
C,101359108096
BMY,102226345984
REGN,103307902976
PGR,104394104832
MDLZ,100638547968
ADP,98071560192
ADI,98331025408
MMC,97968480256
MU,97232396288
GILD,99097567232
CB,98562228224
ETN,96458907648
AMT,91722620928
CVS,95475113984
SCHW,115697377280
CI,89102786560
BSX,87781597184
ZTS,85427339264
BX,145905598464
KLAC,86785785856
FI,84026040320
TMUS,187349762048
SNPS,82428796928
CDNS,80233807872
EQIX,74657955840
SO,74380279808
DUK,72863113216
CME,73535766528
ICE,72713125888
SHW,77061120000
SLB,73733087232
MO,70622191616
ITW,77809123328
PYPL,67944386560
CSX,67959111680
BDX,68120301568
WM,74030047232
ANET,81654415360
CL,65935634432
NOC,69955887104
USB,66183839744
MCK,64535068672
TGT,64263352320
EOG,65365282816
CMG,64077885440
ABNB,90492346368
AON,60877676544
ORLY,60253745152
MCO,71361757184
PH,59725922304
MMM,51522650112
PNC,59795894272
TDG,58628521984
MPC,58891005952
MAR,69860278272
APH,60225888256
ROP,58513887232
APD,57148153856
FDX,62405775360
TT,57146388480
HCA,74658676736
PSX,58808918016
GD,71275233280
NXPI,57143480320
LULU,59920535552
EMR,53946146816
NSC,53610061824
MSI,54495592448
FCX,56957689856
ADSK,54047768576
CTAS,60614791168
AJG,51617845248
ECL,56064225280
PCAR,52764340224
PXD,52088586240
HUM,49539866624
DXCM,48632897536
COF,49925234688
WELL,48738516992
TFC,50081935360
MCHP,49770778624
TRV,48145633280
AZO,47580741632
AIG,48553086976
GM,47520956416
HLT,48100454400
DHI,46244175872
